หมวด,คำถาม,คำตอบ,คำสำคัญ,คำตัดสิทธิ์
ทดลองใช้,มีแพ็กเกจทดลองหรือไม่,ไม่มีแพ็กเกจทดลองใช้งานโดยตรง แต่ hostatom มีการรับประกันความพึงพอใจ โดยบริการที่เข้าเงื่อนไขสามารถขอคืนค่าบริการได้ตามนโยบายที่กำหนด ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/faq/,"ทดลอง, trial, free trial, ทดลองใช้, คืนเงิน, refund","ราคาแพ็กเกจ, ช่องทางชำระเงิน"
ชำระเงิน,รับชำระช่องทางใดบ้าง,"รองรับ PromptPay, โอนผ่านธนาคารกสิกรไทย, QR Payment และบัตรเครดิต/เดบิตผ่าน PayPal ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/how-to-pay/","ชำระเงิน, จ่ายเงิน, payment, promptpay, QR, บัตรเครดิต, บัตรเดบิต, paypal, โอนเงิน","ราคาแพ็กเกจ, คืนเงิน, refund"
ที่ตั้ง Server,Server อยู่ที่ไหน,บริการ Hosting สามารถเลือกโซน Server ได้ทั้งไทย สิงคโปร์ อเมริกา และยุโรป โดย Server หลักในไทยอยู่ที่ The Cloud Tower เกษตร-นวมินทร์,"server, ที่ตั้ง server, location, ประเทศ, data center, เซิร์ฟเวอร์อยู่ไหน","server ล่ม, server มีปัญหา, dedicated ราคา, vps ราคา"
ย้ายเว็บไซต์,ย้ายเว็บไซต์ให้หรือไม่,มีบริการโอนย้ายเว็บไซต์ฟรี โดยสามารถย้ายได้ไม่จำกัดจำนวนเว็บไซต์ และเว็บไซต์เดิมยังใช้งานได้ระหว่างการโอนย้าย ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/web-hosting/,"ย้ายเว็บ, ย้ายเว็บไซต์, migrate, migration, transfer website, ย้ายโฮส","ย้ายโดเมน, transfer domain, EPP, authorization code"
Domain,จด Domain ที่อื่นแล้วใช้ Hosting ที่นี่ได้หรือไม่,ได้ สามารถใช้ Domain ที่จดกับผู้ให้บริการอื่นร่วมกับ Hosting ของ hostatom ได้ โดยตั้งค่า Nameserver หรือ DNS ให้ชี้มายัง Hosting ที่ใช้งาน,"โดเมนที่อื่น, domain ที่อื่น, nameserver, name server, dns, ชี้โดเมน","ย้ายโดเมน, transfer domain, จดโดเมนใหม่, ราคาโดเมน"
Web Hosting,ควรเลือก Web Hosting แพ็กเกจใด,"เลือกตามจำนวนเว็บไซต์และพื้นที่ที่ต้องการ เช่น Go รองรับ 1 เว็บไซต์ พื้นที่ 10 GB SSD, Boost รองรับ 10 เว็บไซต์ พื้นที่ 50 GB SSD และ Max รองรับ 100 เว็บไซต์ พื้นที่ 100 GB SSD ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/web-hosting/","เลือกแพ็กเกจ, แนะนำแพ็กเกจ, web hosting ไหนดี, hosting ไหนดี, go, boost, max","wordpress hosting, reseller hosting, cloud vps, dedicated server"
Web Hosting,Web Hosting กับ WordPress Hosting ต่างกันอย่างไร,Web Hosting เหมาะกับเว็บไซต์ทั่วไปและรองรับหลาย CMS ส่วน WordPress Hosting ออกแบบและปรับแต่งสำหรับเว็บไซต์ WordPress โดยเฉพาะ หากใช้งาน WordPress เป็นหลักสามารถเลือก WordPress Hosting ได้,"wordpress hosting, web hosting, ต่างกัน, เปรียบเทียบ, wordpress","reseller hosting, cloud vps, dedicated server"
Reseller Hosting,Reseller Hosting ต่างจาก Shared Hosting อย่างไร,Reseller Hosting เหมาะกับผู้ที่ต้องการดูแลหลายเว็บไซต์หรือให้บริการ Hosting แก่ลูกค้า สามารถสร้าง Customer Account และจัดการทรัพยากรแยกแต่ละบัญชีได้ ส่วน Web Hosting เหมาะกับการใช้งานเว็บไซต์ของตนเอง ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/reseller-hosting/,"reseller, reseller hosting, ตัวแทน, ตัวแทนโฮสติ้ง, shared hosting, ต่างกัน","reseller ราคา, cloud vps, dedicated server"
Private Hosting,Private Hosting กับ Cloud VPS ต่างกันอย่างไร,Private Hosting เป็น Hosting ที่มีทรัพยากรส่วนตัวและมีทีมงานช่วยดูแล Server เหมาะกับผู้ที่ไม่ต้องการดูแลระบบเอง ส่วน Cloud VPS ให้ความยืดหยุ่นในการติดตั้งและปรับแต่งระบบมากกว่า ดูรายละเอียด Private Hosting ที่ https://www.hostatom.com/private-hosting/ และ Cloud VPS ที่ https://www.hostatom.com/cloud-vps/,"private hosting, cloud vps, private server, vps, ต่างกัน, เปรียบเทียบ","dedicated server, web hosting, reseller hosting"
ช่องทางติดต่อ,ช่องทางติดต่อมีอะไรบ้าง,"ติดต่อ hostatom ได้ผ่าน Live Chat, Support Ticket, โทร 0-2107-3466, LINE Official @hostatom และอีเมลของแต่ละฝ่าย ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/contact-us/","ติดต่อ, contact, เบอร์โทร, โทร, line, อีเมล, email, live chat, support ticket","ช่องทางชำระเงิน, ราคาแพ็กเกจ"
Restore,ต้องการขอ Restore ข้อมูลต้องทำอย่างไร,การ Restore ขึ้นอยู่กับ Backup และบริการที่ใช้งาน แนะนำเปิด Support Ticket พร้อมแจ้งบริการหรือ Domain และช่วงเวลาของข้อมูลที่ต้องการกู้คืน เพื่อให้ทีมงานตรวจสอบ Backup ที่มีอยู่,"restore, กู้คืนข้อมูล, กู้ backup, backup, ย้อนข้อมูล, กู้เว็บไซต์","ย้ายเว็บไซต์, migrate, transfer domain"
แก้ไขปัญหา,เว็บไซต์มีปัญหาต้องแจ้งข้อมูลอะไรบ้าง,"แนะนำแจ้ง Domain หรือ IP, ช่วงเวลาที่เริ่มพบปัญหา, Error Message ที่พบ และรายละเอียดส่วนที่ได้รับผลกระทบ เพื่อช่วยให้ทีม Support ตรวจสอบได้รวดเร็วขึ้น","แก้ปัญหา, error, เว็บล่ม, เว็บเข้าไม่ได้, เว็บไซต์มีปัญหา, website down","restore, ย้ายเว็บไซต์, migrate"
Web Hosting,Web Hosting แพ็กเกจเริ่มต้นราคาเท่าไหร่,"Web Hosting แพ็กเกจ Go เริ่มต้น 690 บาท/ปี รองรับ 1 เว็บไซต์ พื้นที่ 10 GB SSD ไม่จำกัด Subdomain, Database, Email Account และ Bandwidth ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/web-hosting/","web hosting ราคา, hosting ราคา, โฮสติ้ง ราคา, ราคาเริ่มต้น, go","reseller, cloud vps, dedicated, wordpress hosting, domain"
Reseller Hosting,Reseller Hosting ราคาเริ่มต้นเท่าไหร่,Reseller Hosting แพ็กเกจ Lite เริ่มต้น 250 บาท/เดือน รองรับ 10 เว็บไซต์ พื้นที่ 20 GB SSD และไม่จำกัด Customer Accounts ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/reseller-hosting/,"reseller ราคา, reseller hosting ราคา, ตัวแทนจำหน่าย, lite","web hosting ราคา, cloud vps, dedicated server"
Cloud VPS,Cloud VPS SSD คืออะไร ต่างจาก Web Hosting ยังไง,"Cloud VPS เป็น Server เสมือนส่วนตัวที่มี CPU, RAM และ Storage ของตนเอง สามารถติดตั้งและปรับแต่งระบบได้มากกว่า Web Hosting เหมาะกับงานที่ต้องการควบคุม Server มากขึ้น ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/cloud-vps/","vps, cloud vps, cloud server, เซิร์ฟเวอร์เสมือน, ต่างจาก hosting","vps ราคา, dedicated server, private hosting"
Cloud VPS,Cloud VPS SSD ราคาเริ่มต้นเท่าไหร่,"Cloud VPS SSD1 เริ่มต้น 290 บาท/เดือน ได้ RAM 2 GB, CPU 1 vCore, SSD 20 GB, Port Speed 100 Mbps และ Unlimited Data Transfer ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/cloud-vps/","vps ราคา, cloud vps ราคา, cloud server ราคา, ssd1","web hosting ราคา, reseller ราคา, dedicated ราคา"
Email Service,บริการ Email มีให้เลือกแบบไหนบ้าง ราคาเท่าไหร่,"Email Service มีบริการ Anti-Spam Gateway Incoming Filter ราคา 1,200 บาท/ปี สำหรับกรอง Spam, Virus, Phishing และ Malware ของระบบอีเมล ดูรายละเอียดเพิ่มเติมที่ https://support.hostatom.com/store/email-service","email service, email ราคา, อีเมล ราคา, anti-spam, spam filter, incoming filter","google workspace, microsoft 365, gmail, outlook"
Dedicated Server,Dedicated Server มีที่ตั้งไหนบ้าง ราคาเริ่มต้นเท่าไหร่,"Dedicated Server มีให้เลือกหลาย Location ได้แก่ ไทย สิงคโปร์ สหรัฐฯ และยุโรป โดยราคาและสเปกขึ้นอยู่กับ Location และแพ็กเกจ สำหรับ Server ในไทย แพ็กเกจเริ่มต้นปัจจุบันอยู่ที่ 4,400 บาท/เดือน ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/dedicated-server/","dedicated, dedicated server, เซิร์ฟเวอร์แยก, server ราคา, dedicated ราคา, location","cloud vps, private hosting, web hosting"
SSL Certificate,SSL Certificate มีกี่แบบ ราคาเท่าไหร่,"มี Positive SSL สำหรับ 1 Domain เริ่มต้น 590 บาท/ปี และ Positive SSL Wildcard สำหรับไม่จำกัด Subdomain ราคา 3,450 บาท/ปี ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/ssl-certificate/","ssl, ssl certificate, https, certificate, positive ssl, wildcard, ssl ราคา","free ssl, let's encrypt, ssl error, ติดตั้ง ssl"
Google Service,มีบริการ Google Workspace ไหม ราคาเท่าไหร่,"มี Google Workspace โดย Business Starter สำหรับลูกค้าใหม่เริ่มต้น 1,490 บาท/ปี/บัญชี ราคาปกติ 2,790 บาท/ปี/บัญชี ดูรายละเอียดแพ็กเกจและเงื่อนไขเพิ่มเติมที่ https://www.hostatom.com/google-workspace/","google workspace, google workspace ราคา, gmail องค์กร, google service, business starter","microsoft 365, outlook, email hosting"
Microsoft Service,มีบริการ Microsoft 365 ไหม,"มี Microsoft 365 หลายแพ็กเกจ โดย Business Basic แบบไม่รวม Teams เริ่มต้น 1,020 บาท/ปี/บัญชี พื้นที่ Email 50 GB และ Cloud Storage 1 TB ต่อผู้ใช้ ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/microsoft-365/","microsoft 365, microsoft 365 ราคา, office 365, office, outlook, business basic","google workspace, gmail, sql server"
Microsoft SQL Server,บริการ Microsoft SQL Server เหมาะกับใคร ราคาเท่าไหร่,Microsoft SQL Server เหมาะกับเว็บไซต์ ระบบ หรือธุรกิจที่ต้องใช้ฐานข้อมูล Microsoft SQL Server มีทั้งแบบเช่าใช้งานรายเดือนและแบบซื้อขาด โดยแพ็กเกจ Web เริ่มต้น 480 บาท/เดือนต่อ Instance สำหรับ CPU 2 Core ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/microsoft-sql-server/,"sql server, microsoft sql server, mssql, ฐานข้อมูล microsoft, sql ราคา","mysql, microsoft 365, office 365, phpmyadmin"
Imunify360,Imunify360 คืออะไร ต้องซื้อเพิ่มไหม,"Imunify360 เป็นระบบ Security สำหรับ Web Server มี Malware Scanner, Web Application Firewall และระบบป้องกันภัยคุกคามต่าง ๆ โดย Single User เริ่มต้น 3,000 บาท/ปี ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/imunify360/","imunify360, imunify, ความปลอดภัย server, malware scanner, firewall, waf","ssl, cloudflare, antivirus เครื่อง, แก้เว็บติดมัลแวร์"
Domain,จดโดเมนใหม่ราคาเท่าไหร่,"ราคาขึ้นอยู่กับนามสกุล Domain เช่น .com 450 บาท/ปี, .net 650 บาท/ปี, .org 599 บาท/ปี, .in.th 400 บาท/ปี และ .co.th 800 บาท/ปี ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/domain-name/tld/","จดโดเมน, domain ราคา, ราคาโดเมน, นามสกุลโดเมน, .com, .net, .org, .in.th, .co.th","ย้ายโดเมน, transfer domain, hosting ราคา"
Domain,โอนย้ายโดเมนมาที่ hostatom ใช้เวลากี่วัน,โดยทั่วไปการโอนย้าย Domain ใช้เวลาประมาณ 4–7 วันทำการ ขึ้นอยู่กับการยืนยันจากผู้ให้บริการเดิม ดูรายละเอียดเพิ่มเติมที่ https://www.hostatom.com/domain-transfer/,"ย้ายโดเมน, transfer domain, domain transfer, โอนโดเมน, กี่วัน, EPP","ย้ายเว็บไซต์, migrate website, จดโดเมนใหม่, ราคาโดเมน"
